8157 WIND_SPEED,TEMPERATURE,HUMIDITY,MIC_A,MIC_B
8662 0.09,0.00,0.00,0.00,0.00
8663 0.09,0.00,0.00,-7.25,-10.50
8668 0.09,0.00,0.00,-88.75,-89.00
8668 0.09,0.00,0.00,-192.00,-191.25
8674 0.09,0.00,0.00,-294.00,-290.00
8674 0.09,0.00,0.00,-389.25,-384.00
8679 0.09,0.00,0.00,-480.00,-473.00
8679 0.09,0.00,0.00,-568.00,-558.00
8684 0.09,0.00,0.00,-653.25,-640.50
8685 0.09,0.00,0.00,-732.75,-719.00
8690 0.09,0.00,0.00,-807.50,-794.00
8690 0.09,0.00,0.00,-881.75,-865.50
8696 0.09,0.00,0.00,-950.25,-933.75
8696 0.09,0.00,0.00,-1017.25,-997.75
8701 0.09,0.00,0.00,-1078.50,-1058.25
8701 0.09,0.00,0.00,-1137.50,-1116.75
8707 0.09,0.00,0.00,-1192.25,-1173.25
8707 0.09,0.00,0.00,-1247.00,-1225.00
8712 0.09,0.00,0.00,-1296.75,-1274.75
8717 0.09,0.00,0.00,-1346.00,-1321.75
8717 0.09,0.00,0.00,-1390.50,-1368.50
8724 0.09,0.00,0.00,-1433.75,-1410.25
8724 0.09,0.00,0.00,-1474.00,-1450.00
8729 0.09,0.00,0.00,-1512.00,-1488.25
8729 0.09,0.00,0.00,-1549.50,-1523.00
8734 0.09,0.00,0.00,-1582.00,-1557.50
8734 0.09,0.00,0.00,-1615.00,-1589.25
8740 0.09,0.00,0.00,-1643.00,-1619.25
8740 0.09,0.00,0.00,-1671.75,-1647.00
8746 0.09,0.00,0.00,-1698.25,-1671.50
8746 0.09,0.00,0.00,-1722.75,-1695.25
8751 0.09,0.00,0.00,-1741.75,-1718.25
8751 0.09,0.00,0.00,-1764.25,-1739.25
8756 0.09,0.00,0.00,-1784.00,-1758.00
8757 0.09,0.00,0.00,-1801.50,-1775.75
8763 0.09,0.00,0.00,-1817.75,-1793.75
8768 0.09,0.00,0.00,-1834.00,-1807.50
8768 0.09,0.00,0.00,-1846.75,-1822.25
8773 0.09,0.00,0.00,-1860.00,-1834.00
8773 0.09,0.00,0.00,-1872.25,-1845.25
8779 0.09,0.00,0.00,-1881.00,-1854.50
8779 0.09,0.00,0.00,-1889.25,-1864.50
8785 0.09,0.00,0.00,-1896.75,-1872.50
8785 0.09,0.00,0.00,-1903.75,-1878.50
8790 0.09,0.00,0.00,-1909.25,-1884.00
8790 0.09,0.00,0.00,-1915.00,-1888.75
8795 0.09,0.00,0.00,-1917.50,-1893.00
8796 0.09,0.00,0.00,-1920.00,-1896.50
8802 0.09,0.00,0.00,-1921.00,-1897.50
8802 0.09,0.00,0.00,-1923.00,-1899.50
8811 0.09,0.00,0.00,-1922.50,-1899.25
8811 0.09,0.00,0.00,-1922.50,-1899.25
8818 0.09,0.00,0.00,-1921.00,-1897.50
8819 0.09,0.00,0.00,-1917.75,-1895.50
8826 0.09,0.00,0.00,-1915.00,-1893.75
8826 0.09,0.00,0.00,-1912.75,-1890.75
8834 0.09,0.00,0.00,-1908.25,-1886.50
8834 0.09,0.00,0.00,-1903.25,-1882.00
8843 0.09,0.00,0.00,-1898.75,-1877.75
8843 0.09,0.00,0.00,-1893.00,-1872.50
8850 0.09,0.00,0.00,-1887.00,-1866.00
8851 0.09,0.00,0.00,-1879.50,-1859.50
8858 0.09,0.00,0.00,-1872.75,-1852.75
8859 0.09,0.00,0.00,-1865.25,-1845.25
8866 0.09,0.00,0.00,-1856.50,-1837.25
8867 0.09,0.00,0.00,-1847.25,-1828.75
8874 0.09,0.00,0.00,-1839.00,-1820.50
8875 0.09,0.00,0.00,-1829.25,-1812.00
8883 0.09,0.00,0.00,-1821.00,-1802.50
8883 0.09,0.00,0.00,-1810.75,-1793.50
8890 0.09,0.00,0.00,-1800.25,-1783.50
8891 0.09,0.00,0.00,-1790.25,-1773.00
8899 0.09,0.00,0.00,-1779.50,-1763.25
8899 0.09,0.00,0.00,-1768.00,-1752.25
8906 0.09,0.00,0.00,-1757.75,-1742.50
8907 0.09,0.00,0.00,-1745.00,-1730.25
8915 0.09,0.00,0.00,-1734.00,-1719.50
8915 0.09,0.00,0.00,-1722.75,-1707.75
8922 0.09,0.00,0.00,-1710.25,-1696.50
8922 0.09,0.00,0.00,-1698.50,-1685.25
8930 0.09,0.00,0.00,-1686.25,-1673.50
8930 0.09,0.00,0.00,-1673.25,-1661.00
8937 0.09,0.00,0.00,-1660.75,-1648.75
8938 0.09,0.00,0.00,-1646.50,-1635.25
8946 0.09,0.00,0.00,-1635.25,-1624.00
8946 0.09,0.00,0.00,-1621.75,-1611.00
8953 0.09,0.00,0.00,-1608.00,-1598.25
8954 0.09,0.00,0.00,-1595.25,-1585.50
8962 0.09,0.00,0.00,-1581.75,-1572.25
8962 0.09,0.00,0.00,-1568.00,-1560.00
8970 0.09,0.00,0.00,-1555.75,-1547.25
8970 0.09,0.00,0.00,-1542.25,-1535.00
8978 0.09,0.00,0.00,-1528.75,-1521.75
8979 0.09,0.00,0.00,-1515.25,-1508.25
8986 0.09,0.00,0.00,-1501.25,-1495.50
8986 0.09,0.00,0.00,-1489.00,-1482.75
8994 0.09,0.00,0.00,-1474.75,-1469.00
8994 0.09,0.00,0.00,-1462.25,-1456.00
9002 0.09,0.00,0.00,-1448.75,-1442.75
9002 0.09,0.00,0.00,-1433.25,-1428.75
9010 0.09,0.00,0.00,-1420.50,-1416.00
9010 0.09,0.00,0.00,-1406.00,-1403.50
9017 0.09,0.00,0.00,-1393.00,-1389.25
9017 0.09,0.00,0.00,-1379.75,-1376.75
9025 0.09,0.00,0.00,-1364.75,-1363.50
9026 0.09,0.00,0.00,-1354.75,-1350.75
9033 0.09,0.00,0.00,-1340.00,-1337.50
9034 0.09,0.00,0.00,-1325.00,-1324.50
9041 0.09,0.00,0.00,-1313.75,-1311.50
9042 0.09,0.00,0.00,-1299.25,-1298.75
9049 0.09,0.00,0.00,-1285.75,-1286.00
9050 0.09,0.00,0.00,-1272.00,-1272.25
9057 0.09,0.00,0.00,-1260.75,-1260.75
9058 0.09,0.00,0.00,-1247.75,-1247.00
9066 0.09,0.00,0.00,-1234.25,-1234.00
9066 0.09,0.00,0.00,-1220.50,-1221.25
9073 0.09,0.00,0.00,-1207.50,-1208.50
9074 0.09,0.00,0.00,-1196.00,-1196.00
9082 0.09,0.00,0.00,-1183.00,-1183.00
9082 0.09,0.00,0.00,-1170.50,-1171.00
9089 0.09,0.00,0.00,-1158.00,-1159.25
9090 0.09,0.00,0.00,-1144.75,-1147.00
9098 0.09,0.00,0.00,-1131.75,-1135.75
9098 0.09,0.00,0.00,-1120.75,-1123.00
9106 0.09,0.00,0.00,-1106.75,-1111.50
9106 0.09,0.00,0.00,-1095.50,-1100.00
9114 0.09,0.00,0.00,-1083.00,-1087.25
9114 0.09,0.00,0.00,-1070.50,-1075.00
9122 0.09,0.00,0.00,-1059.00,-1063.50
9123 0.09,0.00,0.00,-1049.00,-1051.50
9130 0.09,0.00,0.00,-1034.25,-1040.00
9131 0.09,0.00,0.00,-1023.00,-1029.25
9138 0.09,0.00,0.00,-1012.25,-1018.00
9139 0.09,0.00,0.00,-1000.00,-1006.25
9146 0.09,0.00,0.00,-989.75,-995.50
9147 0.09,0.00,0.00,-978.75,-984.50
9154 0.09,0.00,0.00,-966.75,-973.50
9154 0.09,0.00,0.00,-955.75,-962.25
9162 0.09,0.00,0.00,-943.75,-951.50
9162 0.09,0.00,0.00,-932.75,-940.75
9170 0.09,0.00,0.00,-922.00,-930.25
9171 0.09,0.00,0.00,-912.25,-918.75
9178 0.09,0.00,0.00,-902.00,-908.75
9179 0.09,0.00,0.00,-889.75,-898.75
9186 0.09,0.00,0.00,-880.50,-888.25
9187 0.09,0.00,0.00,-871.25,-878.25
9194 0.09,0.00,0.00,-858.50,-867.50
9195 0.09,0.00,0.00,-849.25,-857.00
9202 0.09,0.00,0.00,-839.00,-848.00
9203 0.09,0.00,0.00,-829.75,-839.50
9210 0.09,0.00,0.00,-819.00,-829.00
9211 0.09,0.00,0.00,-809.25,-819.00
9218 0.09,0.00,0.00,-799.50,-810.00
9219 0.09,0.00,0.00,-788.75,-800.25
9226 0.09,0.00,0.00,-779.75,-789.50
9226 0.09,0.00,0.00,-769.50,-781.75
9234 0.09,0.00,0.00,-761.50,-772.50
9235 0.09,0.00,0.00,-751.25,-762.25
9242 0.09,0.00,0.00,-742.75,-753.50
9243 0.09,0.00,0.00,-733.50,-745.00
9250 0.09,0.00,0.00,-725.25,-734.75
9251 0.09,0.00,0.00,-715.75,-726.50
9258 0.09,0.00,0.00,-707.50,-716.75
9258 0.09,0.00,0.00,-698.00,-708.75
9266 0.09,0.00,0.00,-689.00,-700.25
9267 0.09,0.00,0.00,-679.25,-692.00
9274 0.09,0.00,0.00,-670.75,-684.00
9274 0.09,0.00,0.00,-661.25,-675.00
9282 0.09,0.00,0.00,-654.50,-666.50
9283 0.09,0.00,0.00,-644.75,-659.00
9290 0.09,0.00,0.00,-637.25,-650.75
9291 0.09,0.00,0.00,-628.25,-642.75
9298 0.09,0.00,0.00,-621.00,-634.50
9299 0.09,0.00,0.00,-614.50,-627.00
9306 0.09,0.00,0.00,-605.25,-618.50
9306 0.09,0.00,0.00,-598.75,-610.75
9314 0.09,0.00,0.00,-589.75,-603.75
9314 0.09,0.00,0.00,-582.00,-595.25
9323 0.09,0.00,0.00,-574.75,-587.25
9324 0.09,0.00,0.00,-567.25,-582.00
9330 0.09,0.00,0.00,-559.75,-574.00
